LOG_3.5
Rate: 2
RecMsg,2023-03-08 12:05:33.551373,0,1
IntEvent,2023-03-08 12:05:34.055896,2
RecMsg,2023-03-08 12:05:34.558875,0,6
IntEvent,2023-03-08 12:05:35.064484,7
SentDoubMsg,2023-03-08 12:05:35.566319,8
RecMsg,2023-03-08 12:05:36.071366,0,12
RecMsg,2023-03-08 12:05:36.577926,0,14
RecMsg,2023-03-08 12:05:37.083108,0,16
IntEvent,2023-03-08 12:05:37.585607,17
IntEvent,2023-03-08 12:05:38.089456,18
RecMsg,2023-03-08 12:05:38.592751,0,25
