LOG_1.4
Rate: 3
IntEvent,2023-03-08 00:33:58.451544,1
RecMsg,2023-03-08 00:33:58.788649,0,2
RecMsg,2023-03-08 00:33:59.127351,0,4
IntEvent,2023-03-08 00:33:59.466443,5
IntEvent,2023-03-08 00:33:59.805971,6
RecMsg,2023-03-08 00:34:00.141496,1,9
RecMsg,2023-03-08 00:34:00.475803,0,10
RecMsg,2023-03-08 00:34:00.814937,0,13
RecMsg,2023-03-08 00:34:01.151842,0,14
SentDoubMsg,2023-03-08 00:34:01.490777,15
RecMsg,2023-03-08 00:34:01.830124,0,18
RecMsg,2023-03-08 00:34:02.169297,0,20
IntEvent,2023-03-08 00:34:02.506950,21
RecMsg,2023-03-08 00:34:02.846255,0,23
IntEvent,2023-03-08 00:34:03.181996,24
RecMsg,2023-03-08 00:34:03.518632,0,25
RecMsg,2023-03-08 00:34:03.858221,0,26
SentMsg,2023-03-08 00:34:04.195764,27
RecMsg,2023-03-08 00:34:04.534593,0,28
SentMsg,2023-03-08 00:34:04.874105,29
RecMsg,2023-03-08 00:34:05.213567,0,31
IntEvent,2023-03-08 00:34:05.552673,32
IntEvent,2023-03-08 00:34:05.891675,33
IntEvent,2023-03-08 00:34:06.229785,34
RecMsg,2023-03-08 00:34:06.566598,0,40
IntEvent,2023-03-08 00:34:06.905919,41
IntEvent,2023-03-08 00:34:07.245742,42
RecMsg,2023-03-08 00:34:07.583209,0,44
IntEvent,2023-03-08 00:34:07.921333,45
IntEvent,2023-03-08 00:34:08.261599,46
IntEvent,2023-03-08 00:34:08.596794,47
IntEvent,2023-03-08 00:34:08.933247,48
SentMsg,2023-03-08 00:34:09.268141,49
IntEvent,2023-03-08 00:34:09.607867,50
IntEvent,2023-03-08 00:34:09.943183,51
RecMsg,2023-03-08 00:34:10.282439,0,54
IntEvent,2023-03-08 00:34:10.621730,55
SentMsg,2023-03-08 00:34:10.959971,56
IntEvent,2023-03-08 00:34:11.299170,57
