LOG_3.5
Rate: 1
RecMsg,2023-03-08 00:36:45.386124,1,2
RecMsg,2023-03-08 00:36:46.387866,1,3
RecMsg,2023-03-08 00:36:47.393790,1,5
RecMsg,2023-03-08 00:36:48.396656,1,6
RecMsg,2023-03-08 00:36:49.402389,2,13
RecMsg,2023-03-08 00:36:50.404600,1,14
RecMsg,2023-03-08 00:36:51.406728,1,16
RecMsg,2023-03-08 00:36:52.412791,0,17
IntEvent,2023-03-08 00:36:53.418840,18
RecMsg,2023-03-08 00:36:54.420319,2,26
RecMsg,2023-03-08 00:36:55.426151,2,28
RecMsg,2023-03-08 00:36:56.430330,3,30
RecMsg,2023-03-08 00:36:57.437083,2,34
RecMsg,2023-03-08 00:36:58.439325,1,35
RecMsg,2023-03-08 00:36:59.441250,1,36
RecMsg,2023-03-08 00:37:00.443837,1,47
RecMsg,2023-03-08 00:37:01.449575,3,48
RecMsg,2023-03-08 00:37:02.455387,2,49
RecMsg,2023-03-08 00:37:03.461329,1,50
RecMsg,2023-03-08 00:37:04.463652,2,59
RecMsg,2023-03-08 00:37:05.468339,2,61
RecMsg,2023-03-08 00:37:06.474376,1,62
RecMsg,2023-03-08 00:37:07.480182,1,66
RecMsg,2023-03-08 00:37:08.492219,0,67
RecMsg,2023-03-08 00:37:09.494375,0,69
RecMsg,2023-03-08 00:37:10.499511,0,70
RecMsg,2023-03-08 00:37:11.505217,1,73
RecMsg,2023-03-08 00:37:12.511517,1,82
RecMsg,2023-03-08 00:37:13.516156,1,84
RecMsg,2023-03-08 00:37:14.522795,1,87
RecMsg,2023-03-08 00:37:15.528551,1,88
RecMsg,2023-03-08 00:37:16.531382,0,89
IntEvent,2023-03-08 00:37:17.535180,90
RecMsg,2023-03-08 00:37:18.541096,0,99
SentDoubMsg,2023-03-08 00:37:19.545607,100
RecMsg,2023-03-08 00:37:20.546929,0,106
SentMsg,2023-03-08 00:37:21.552590,107
RecMsg,2023-03-08 00:37:22.558171,0,111
RecMsg,2023-03-08 00:37:23.564073,0,115
RecMsg,2023-03-08 00:37:24.570224,0,117
SentDoubMsg,2023-03-08 00:37:25.573535,118
IntEvent,2023-03-08 00:37:26.581190,119
IntEvent,2023-03-08 00:37:27.583529,120
RecMsg,2023-03-08 00:37:28.587675,0,128
RecMsg,2023-03-08 00:37:29.593155,0,133
RecMsg,2023-03-08 00:37:30.598615,1,135
RecMsg,2023-03-08 00:37:31.604087,1,139
RecMsg,2023-03-08 00:37:32.604775,0,140
RecMsg,2023-03-08 00:37:33.605137,0,145
IntEvent,2023-03-08 00:37:34.610890,146
IntEvent,2023-03-08 00:37:35.616765,147
RecMsg,2023-03-08 00:37:36.620507,0,152
RecMsg,2023-03-08 00:37:37.621719,0,156
RecMsg,2023-03-08 00:37:38.627325,1,160
RecMsg,2023-03-08 00:37:39.632627,0,161
IntEvent,2023-03-08 00:37:40.637873,162
SentDoubMsg,2023-03-08 00:37:41.643594,163
SentDoubMsg,2023-03-08 00:37:42.646773,164
SentMsg,2023-03-08 00:37:43.649479,165
IntEvent,2023-03-08 00:37:44.654921,166
RecMsg,2023-03-08 00:37:45.656565,0,179
RecMsg,2023-03-08 00:37:46.662068,0,182
RecMsg,2023-03-08 00:37:47.668438,0,187
RecMsg,2023-03-08 00:37:48.671666,1,188
RecMsg,2023-03-08 00:37:49.675493,0,189
RecMsg,2023-03-08 00:37:50.681376,0,193
RecMsg,2023-03-08 00:37:51.686931,0,198
RecMsg,2023-03-08 00:37:52.692304,0,199
IntEvent,2023-03-08 00:37:53.698115,200
RecMsg,2023-03-08 00:37:54.705631,0,207
RecMsg,2023-03-08 00:37:55.708301,1,210
RecMsg,2023-03-08 00:37:56.714369,1,212
RecMsg,2023-03-08 00:37:57.717104,1,215
RecMsg,2023-03-08 00:37:58.719946,0,216
RecMsg,2023-03-08 00:37:59.725070,0,219
SentDoubMsg,2023-03-08 00:38:00.730127,220
IntEvent,2023-03-08 00:38:01.735628,221
IntEvent,2023-03-08 00:38:02.741127,222
RecMsg,2023-03-08 00:38:03.746565,1,234
RecMsg,2023-03-08 00:38:04.752015,2,237
RecMsg,2023-03-08 00:38:05.754890,4,239
RecMsg,2023-03-08 00:38:06.756153,4,242
RecMsg,2023-03-08 00:38:07.760999,5,246
RecMsg,2023-03-08 00:38:08.766514,4,247
RecMsg,2023-03-08 00:38:09.772103,4,250
RecMsg,2023-03-08 00:38:10.778034,3,251
RecMsg,2023-03-08 00:38:11.785561,3,254
RecMsg,2023-03-08 00:38:12.792393,2,255
RecMsg,2023-03-08 00:38:13.793931,2,262
RecMsg,2023-03-08 00:38:14.798656,2,266
RecMsg,2023-03-08 00:38:15.801761,2,269
RecMsg,2023-03-08 00:38:16.807116,1,270
RecMsg,2023-03-08 00:38:17.824503,1,276
RecMsg,2023-03-08 00:38:18.829429,1,277
RecMsg,2023-03-08 00:38:19.831783,2,280
RecMsg,2023-03-08 00:38:20.837173,1,282
RecMsg,2023-03-08 00:38:21.843005,1,283
RecMsg,2023-03-08 00:38:22.847074,1,290
RecMsg,2023-03-08 00:38:23.847557,0,291
