LOG_2.2
Rate: 1
RecMsg,2023-03-08 00:29:42.544523,0,4
RecMsg,2023-03-08 00:29:43.550564,1,11
RecMsg,2023-03-08 00:29:44.555456,1,17
RecMsg,2023-03-08 00:29:45.561345,0,18
RecMsg,2023-03-08 00:29:46.566956,1,28
RecMsg,2023-03-08 00:29:47.572917,4,34
RecMsg,2023-03-08 00:29:48.575043,5,39
RecMsg,2023-03-08 00:29:49.580609,7,44
RecMsg,2023-03-08 00:29:50.582724,6,45
RecMsg,2023-03-08 00:29:51.588653,7,58
RecMsg,2023-03-08 00:29:52.594582,6,59
RecMsg,2023-03-08 00:29:53.600553,5,60
RecMsg,2023-03-08 00:29:54.606104,6,76
RecMsg,2023-03-08 00:29:55.608075,6,79
RecMsg,2023-03-08 00:29:56.613374,5,80
RecMsg,2023-03-08 00:29:57.618806,7,94
RecMsg,2023-03-08 00:29:58.624870,7,98
RecMsg,2023-03-08 00:29:59.629620,9,102
RecMsg,2023-03-08 00:30:00.634441,9,111
RecMsg,2023-03-08 00:30:01.638859,9,113
RecMsg,2023-03-08 00:30:02.644545,12,123
RecMsg,2023-03-08 00:30:03.650218,14,129
RecMsg,2023-03-08 00:30:04.653592,14,132
RecMsg,2023-03-08 00:30:05.658867,16,140
RecMsg,2023-03-08 00:30:06.662264,18,146
RecMsg,2023-03-08 00:30:07.668107,19,148
RecMsg,2023-03-08 00:30:08.674209,19,153
RecMsg,2023-03-08 00:30:09.680223,18,154
RecMsg,2023-03-08 00:30:10.686121,21,169
RecMsg,2023-03-08 00:30:11.691655,22,174
RecMsg,2023-03-08 00:30:12.692763,22,178
RecMsg,2023-03-08 00:30:13.696063,23,188
RecMsg,2023-03-08 00:30:14.701309,25,193
RecMsg,2023-03-08 00:30:15.707041,24,194
RecMsg,2023-03-08 00:30:16.713121,26,204
RecMsg,2023-03-08 00:30:17.719080,27,208
RecMsg,2023-03-08 00:30:18.724688,28,217
RecMsg,2023-03-08 00:30:19.729959,30,223
RecMsg,2023-03-08 00:30:20.731225,31,225
RecMsg,2023-03-08 00:30:21.736583,35,233
RecMsg,2023-03-08 00:30:22.742363,35,238
RecMsg,2023-03-08 00:30:23.748360,34,239
RecMsg,2023-03-08 00:30:24.751038,35,252
RecMsg,2023-03-08 00:30:25.757001,36,257
RecMsg,2023-03-08 00:30:26.761788,37,263
RecMsg,2023-03-08 00:30:27.766580,37,268
RecMsg,2023-03-08 00:30:28.770504,36,269
RecMsg,2023-03-08 00:30:29.775916,38,281
RecMsg,2023-03-08 00:30:30.777401,40,287
RecMsg,2023-03-08 00:30:31.779957,40,292
RecMsg,2023-03-08 00:30:32.785770,40,298
RecMsg,2023-03-08 00:30:33.791431,42,305
RecMsg,2023-03-08 00:30:34.797039,43,311
RecMsg,2023-03-08 00:30:35.802277,43,313
RecMsg,2023-03-08 00:30:36.803607,44,321
RecMsg,2023-03-08 00:30:37.810145,43,322
RecMsg,2023-03-08 00:30:38.811552,45,334
RecMsg,2023-03-08 00:30:39.817375,47,339
RecMsg,2023-03-08 00:30:40.818327,48,345
RecMsg,2023-03-08 00:30:41.823936,48,348
RecMsg,2023-03-08 00:30:42.829477,48,354
RecMsg,2023-03-08 00:30:43.832976,53,364
RecMsg,2023-03-08 00:30:44.837786,54,368
RecMsg,2023-03-08 00:30:45.843290,56,375
RecMsg,2023-03-08 00:30:46.849144,56,379
RecMsg,2023-03-08 00:30:47.854306,57,387
RecMsg,2023-03-08 00:30:48.859278,57,391
RecMsg,2023-03-08 00:30:49.864557,60,399
RecMsg,2023-03-08 00:30:50.869892,60,401
RecMsg,2023-03-08 00:30:51.870414,60,407
RecMsg,2023-03-08 00:30:52.871201,61,414
RecMsg,2023-03-08 00:30:53.876682,61,419
RecMsg,2023-03-08 00:30:54.882551,62,428
RecMsg,2023-03-08 00:30:55.888617,63,434
RecMsg,2023-03-08 00:30:56.890649,63,435
RecMsg,2023-03-08 00:30:57.896078,64,446
RecMsg,2023-03-08 00:30:58.901399,64,449
RecMsg,2023-03-08 00:30:59.903600,65,455
RecMsg,2023-03-08 00:31:00.909592,66,461
RecMsg,2023-03-08 00:31:01.915297,67,467
RecMsg,2023-03-08 00:31:02.917183,68,475
RecMsg,2023-03-08 00:31:03.920371,69,479
RecMsg,2023-03-08 00:31:04.925734,69,483
