LOG_2.1
Rate: 2
RecMsg,2023-03-08 00:27:12.867685,0,1
IntEvent,2023-03-08 00:27:13.368866,2
RecMsg,2023-03-08 00:27:13.874624,0,5
RecMsg,2023-03-08 00:27:14.379825,1,7
RecMsg,2023-03-08 00:27:14.882763,0,8
IntEvent,2023-03-08 00:27:15.388496,9
SentDoubMsg,2023-03-08 00:27:15.894383,10
IntEvent,2023-03-08 00:27:16.399801,11
RecMsg,2023-03-08 00:27:16.900575,0,15
IntEvent,2023-03-08 00:27:17.406370,16
IntEvent,2023-03-08 00:27:17.908203,17
RecMsg,2023-03-08 00:27:18.412233,0,19
SentMsg,2023-03-08 00:27:18.918266,20
IntEvent,2023-03-08 00:27:19.419166,21
IntEvent,2023-03-08 00:27:19.924421,22
RecMsg,2023-03-08 00:27:20.429845,0,30
RecMsg,2023-03-08 00:27:20.935459,0,33
IntEvent,2023-03-08 00:27:21.441091,34
IntEvent,2023-03-08 00:27:21.946527,35
IntEvent,2023-03-08 00:27:22.452345,36
IntEvent,2023-03-08 00:27:22.954917,37
IntEvent,2023-03-08 00:27:23.460809,38
IntEvent,2023-03-08 00:27:23.966881,39
RecMsg,2023-03-08 00:27:24.468708,1,47
RecMsg,2023-03-08 00:27:24.974312,0,48
IntEvent,2023-03-08 00:27:25.480978,49
IntEvent,2023-03-08 00:27:25.987784,50
RecMsg,2023-03-08 00:27:26.494115,0,54
RecMsg,2023-03-08 00:27:27.000247,0,57
IntEvent,2023-03-08 00:27:27.502183,58
IntEvent,2023-03-08 00:27:28.003060,59
RecMsg,2023-03-08 00:27:28.508083,0,60
RecMsg,2023-03-08 00:27:29.013541,0,64
IntEvent,2023-03-08 00:27:29.519402,65
IntEvent,2023-03-08 00:27:30.025131,66
RecMsg,2023-03-08 00:27:30.528687,0,69
IntEvent,2023-03-08 00:27:31.034694,70
IntEvent,2023-03-08 00:27:31.540666,71
RecMsg,2023-03-08 00:27:32.046599,0,75
RecMsg,2023-03-08 00:27:32.552557,1,77
RecMsg,2023-03-08 00:27:33.058551,0,78
IntEvent,2023-03-08 00:27:33.564668,79
RecMsg,2023-03-08 00:27:34.070696,0,83
RecMsg,2023-03-08 00:27:34.576638,0,84
IntEvent,2023-03-08 00:27:35.082680,85
RecMsg,2023-03-08 00:27:35.587858,0,87
SentMsg,2023-03-08 00:27:36.094111,88
RecMsg,2023-03-08 00:27:36.600156,0,93
SentMsg,2023-03-08 00:27:37.101401,94
IntEvent,2023-03-08 00:27:37.607397,95
IntEvent,2023-03-08 00:27:38.109065,96
RecMsg,2023-03-08 00:27:38.614347,0,102
IntEvent,2023-03-08 00:27:39.119072,103
RecMsg,2023-03-08 00:27:39.627049,0,107
RecMsg,2023-03-08 00:27:40.130552,0,108
IntEvent,2023-03-08 00:27:40.635265,109
SentMsg,2023-03-08 00:27:41.141497,110
RecMsg,2023-03-08 00:27:41.643035,0,115
IntEvent,2023-03-08 00:27:42.148987,116
SentMsg,2023-03-08 00:27:42.654755,117
RecMsg,2023-03-08 00:27:43.160301,0,121
RecMsg,2023-03-08 00:27:43.664865,0,122
IntEvent,2023-03-08 00:27:44.170940,123
IntEvent,2023-03-08 00:27:44.676757,124
RecMsg,2023-03-08 00:27:45.182737,0,126
IntEvent,2023-03-08 00:27:45.685587,127
IntEvent,2023-03-08 00:27:46.191035,128
RecMsg,2023-03-08 00:27:46.696529,0,133
RecMsg,2023-03-08 00:27:47.198487,0,136
RecMsg,2023-03-08 00:27:47.700270,0,138
RecMsg,2023-03-08 00:27:48.206158,0,139
IntEvent,2023-03-08 00:27:48.712134,140
IntEvent,2023-03-08 00:27:49.218307,141
IntEvent,2023-03-08 00:27:49.722466,142
RecMsg,2023-03-08 00:27:50.227925,0,145
IntEvent,2023-03-08 00:27:50.729328,146
SentMsg,2023-03-08 00:27:51.234958,147
RecMsg,2023-03-08 00:27:51.737237,0,153
IntEvent,2023-03-08 00:27:52.242799,154
IntEvent,2023-03-08 00:27:52.748674,155
SentDoubMsg,2023-03-08 00:27:53.254591,156
IntEvent,2023-03-08 00:27:53.760818,157
IntEvent,2023-03-08 00:27:54.266737,158
RecMsg,2023-03-08 00:27:54.772648,0,163
RecMsg,2023-03-08 00:27:55.278551,0,165
RecMsg,2023-03-08 00:27:55.780495,1,169
RecMsg,2023-03-08 00:27:56.283868,0,170
SentMsg,2023-03-08 00:27:56.785974,171
IntEvent,2023-03-08 00:27:57.288081,172
RecMsg,2023-03-08 00:27:57.793680,0,176
IntEvent,2023-03-08 00:27:58.299107,177
RecMsg,2023-03-08 00:27:58.804527,0,181
SentDoubMsg,2023-03-08 00:27:59.311369,182
RecMsg,2023-03-08 00:27:59.817537,0,185
IntEvent,2023-03-08 00:28:00.318673,186
IntEvent,2023-03-08 00:28:00.824608,187
IntEvent,2023-03-08 00:28:01.326745,188
RecMsg,2023-03-08 00:28:01.829103,1,193
RecMsg,2023-03-08 00:28:02.334953,0,194
IntEvent,2023-03-08 00:28:02.840601,195
SentMsg,2023-03-08 00:28:03.346800,196
RecMsg,2023-03-08 00:28:03.853104,0,201
IntEvent,2023-03-08 00:28:04.359297,202
SentDoubMsg,2023-03-08 00:28:04.865717,203
IntEvent,2023-03-08 00:28:05.372136,204
RecMsg,2023-03-08 00:28:05.878350,0,206
IntEvent,2023-03-08 00:28:06.383861,207
RecMsg,2023-03-08 00:28:06.889327,1,213
RecMsg,2023-03-08 00:28:07.392711,0,214
RecMsg,2023-03-08 00:28:07.898835,0,215
IntEvent,2023-03-08 00:28:08.404926,216
RecMsg,2023-03-08 00:28:08.910936,0,220
IntEvent,2023-03-08 00:28:09.417183,221
IntEvent,2023-03-08 00:28:09.920207,222
RecMsg,2023-03-08 00:28:10.426236,0,228
IntEvent,2023-03-08 00:28:10.928795,229
IntEvent,2023-03-08 00:28:11.433015,230
RecMsg,2023-03-08 00:28:11.941310,1,234
RecMsg,2023-03-08 00:28:12.447069,1,236
RecMsg,2023-03-08 00:28:12.953058,1,237
RecMsg,2023-03-08 00:28:13.457289,1,240
RecMsg,2023-03-08 00:28:13.962731,0,241
RecMsg,2023-03-08 00:28:14.468518,0,244
RecMsg,2023-03-08 00:28:14.974476,0,245
RecMsg,2023-03-08 00:28:15.476560,0,246
IntEvent,2023-03-08 00:28:15.979750,247
IntEvent,2023-03-08 00:28:16.483306,248
RecMsg,2023-03-08 00:28:16.987778,0,253
IntEvent,2023-03-08 00:28:17.491658,254
RecMsg,2023-03-08 00:28:17.997374,0,255
SentMsg,2023-03-08 00:28:18.503044,256
IntEvent,2023-03-08 00:28:19.008888,257
RecMsg,2023-03-08 00:28:19.512274,0,262
RecMsg,2023-03-08 00:28:20.018104,1,265
RecMsg,2023-03-08 00:28:20.523832,0,266
RecMsg,2023-03-08 00:28:21.029276,0,267
IntEvent,2023-03-08 00:28:21.534657,268
IntEvent,2023-03-08 00:28:22.040157,269
SentDoubMsg,2023-03-08 00:28:22.546203,270
IntEvent,2023-03-08 00:28:23.052357,271
SentMsg,2023-03-08 00:28:23.558008,272
IntEvent,2023-03-08 00:28:24.063371,273
IntEvent,2023-03-08 00:28:24.568678,274
RecMsg,2023-03-08 00:28:25.073993,0,284
IntEvent,2023-03-08 00:28:25.579455,285
RecMsg,2023-03-08 00:28:26.083419,0,289
RecMsg,2023-03-08 00:28:26.588876,0,290
RecMsg,2023-03-08 00:28:27.092511,0,292
SentMsg,2023-03-08 00:28:27.598148,293
IntEvent,2023-03-08 00:28:28.099971,294
IntEvent,2023-03-08 00:28:28.605524,295
RecMsg,2023-03-08 00:28:29.109548,0,297
RecMsg,2023-03-08 00:28:29.615143,0,303
SentMsg,2023-03-08 00:28:30.120767,304
RecMsg,2023-03-08 00:28:30.625317,0,306
IntEvent,2023-03-08 00:28:31.126293,307
IntEvent,2023-03-08 00:28:31.631984,308
RecMsg,2023-03-08 00:28:32.136570,0,312
RecMsg,2023-03-08 00:28:32.637433,0,314
RecMsg,2023-03-08 00:28:33.143275,0,316
IntEvent,2023-03-08 00:28:33.645286,317
RecMsg,2023-03-08 00:28:34.151069,0,320
IntEvent,2023-03-08 00:28:34.656922,321
IntEvent,2023-03-08 00:28:35.162545,322
RecMsg,2023-03-08 00:28:35.668160,0,327
RecMsg,2023-03-08 00:28:36.173991,0,328
RecMsg,2023-03-08 00:28:36.675849,0,330
RecMsg,2023-03-08 00:28:37.181668,0,332
IntEvent,2023-03-08 00:28:37.686405,333
RecMsg,2023-03-08 00:28:38.189178,0,336
RecMsg,2023-03-08 00:28:38.695210,0,339
IntEvent,2023-03-08 00:28:39.197431,340
RecMsg,2023-03-08 00:28:39.716693,0,343
IntEvent,2023-03-08 00:28:40.222851,344
IntEvent,2023-03-08 00:28:40.726934,345
RecMsg,2023-03-08 00:28:41.232479,0,349
RecMsg,2023-03-08 00:28:41.734661,0,350
RecMsg,2023-03-08 00:28:42.240806,0,351
IntEvent,2023-03-08 00:28:42.746975,352
IntEvent,2023-03-08 00:28:43.250003,353
SentDoubMsg,2023-03-08 00:28:43.755814,354
IntEvent,2023-03-08 00:28:44.259956,355
IntEvent,2023-03-08 00:28:44.762423,356
IntEvent,2023-03-08 00:28:45.264778,357
RecMsg,2023-03-08 00:28:45.770335,0,366
IntEvent,2023-03-08 00:28:46.275672,367
IntEvent,2023-03-08 00:28:46.780461,368
RecMsg,2023-03-08 00:28:47.284010,0,371
IntEvent,2023-03-08 00:28:47.786804,372
RecMsg,2023-03-08 00:28:48.292355,0,376
IntEvent,2023-03-08 00:28:48.800100,377
SentMsg,2023-03-08 00:28:49.306335,378
RecMsg,2023-03-08 00:28:49.808067,0,381
IntEvent,2023-03-08 00:28:50.312641,382
IntEvent,2023-03-08 00:28:50.816885,383
RecMsg,2023-03-08 00:28:51.323035,0,387
RecMsg,2023-03-08 00:28:51.825256,0,389
RecMsg,2023-03-08 00:28:52.330656,0,391
RecMsg,2023-03-08 00:28:52.832833,0,392
RecMsg,2023-03-08 00:28:53.333747,0,395
IntEvent,2023-03-08 00:28:53.837549,396
IntEvent,2023-03-08 00:28:54.343081,397
IntEvent,2023-03-08 00:28:54.847545,398
RecMsg,2023-03-08 00:28:55.353520,0,404
SentDoubMsg,2023-03-08 00:28:55.855701,405
SentDoubMsg,2023-03-08 00:28:56.361357,406
IntEvent,2023-03-08 00:28:56.866245,407
IntEvent,2023-03-08 00:28:57.372038,408
SentMsg,2023-03-08 00:28:57.875738,409
RecMsg,2023-03-08 00:28:58.381831,0,416
SentMsg,2023-03-08 00:28:58.883099,417
SentDoubMsg,2023-03-08 00:28:59.392451,418
IntEvent,2023-03-08 00:28:59.896101,419
RecMsg,2023-03-08 00:29:00.401666,0,424
IntEvent,2023-03-08 00:29:00.903389,425
IntEvent,2023-03-08 00:29:01.408086,426
IntEvent,2023-03-08 00:29:01.912126,427
RecMsg,2023-03-08 00:29:02.413315,0,429
RecMsg,2023-03-08 00:29:02.918638,0,430
