LOG_1.5
Rate: 2
RecMsg,2023-03-08 00:36:44.892319,0,1
RecMsg,2023-03-08 00:36:45.396508,0,2
IntEvent,2023-03-08 00:36:45.902362,3
IntEvent,2023-03-08 00:36:46.404990,4
SentDoubMsg,2023-03-08 00:36:46.907512,5
SentDoubMsg,2023-03-08 00:36:47.413535,6
SentMsg,2023-03-08 00:36:47.918354,7
IntEvent,2023-03-08 00:36:48.423814,8
RecMsg,2023-03-08 00:36:48.930768,0,12
SentMsg,2023-03-08 00:36:49.436420,13
SentMsg,2023-03-08 00:36:49.941582,14
IntEvent,2023-03-08 00:36:50.447351,15
SentMsg,2023-03-08 00:36:50.951193,16
IntEvent,2023-03-08 00:36:51.456044,17
IntEvent,2023-03-08 00:36:51.962006,18
RecMsg,2023-03-08 00:36:52.467977,0,23
IntEvent,2023-03-08 00:36:52.973924,24
SentDoubMsg,2023-03-08 00:36:53.480060,25
SentMsg,2023-03-08 00:36:53.983308,26
IntEvent,2023-03-08 00:36:54.486499,27
SentMsg,2023-03-08 00:36:54.992560,28
IntEvent,2023-03-08 00:36:55.495803,29
SentDoubMsg,2023-03-08 00:36:56.000779,30
IntEvent,2023-03-08 00:36:56.507125,31
IntEvent,2023-03-08 00:36:57.013222,32
IntEvent,2023-03-08 00:36:57.515309,33
IntEvent,2023-03-08 00:36:58.020958,34
IntEvent,2023-03-08 00:36:58.526747,35
SentMsg,2023-03-08 00:36:59.033146,36
RecMsg,2023-03-08 00:36:59.534859,0,44
IntEvent,2023-03-08 00:37:00.041077,45
SentDoubMsg,2023-03-08 00:37:00.547409,46
SentDoubMsg,2023-03-08 00:37:01.049974,47
IntEvent,2023-03-08 00:37:01.554418,48
IntEvent,2023-03-08 00:37:02.056297,49
IntEvent,2023-03-08 00:37:02.561879,50
SentMsg,2023-03-08 00:37:03.067815,51
IntEvent,2023-03-08 00:37:03.570952,52
IntEvent,2023-03-08 00:37:04.074742,53
RecMsg,2023-03-08 00:37:04.580517,0,59
RecMsg,2023-03-08 00:37:05.086527,0,61
IntEvent,2023-03-08 00:37:05.592376,62
IntEvent,2023-03-08 00:37:06.097233,63
IntEvent,2023-03-08 00:37:06.599810,64
IntEvent,2023-03-08 00:37:07.105751,65
IntEvent,2023-03-08 00:37:07.607681,66
IntEvent,2023-03-08 00:37:08.113450,67
IntEvent,2023-03-08 00:37:08.619288,68
SentMsg,2023-03-08 00:37:09.123053,69
SentDoubMsg,2023-03-08 00:37:09.628941,70
IntEvent,2023-03-08 00:37:10.129650,71
SentMsg,2023-03-08 00:37:10.635477,72
SentDoubMsg,2023-03-08 00:37:11.141648,73
IntEvent,2023-03-08 00:37:11.647686,74
RecMsg,2023-03-08 00:37:12.153559,0,82
RecMsg,2023-03-08 00:37:12.656959,0,83
RecMsg,2023-03-08 00:37:13.163219,0,84
IntEvent,2023-03-08 00:37:13.664752,85
IntEvent,2023-03-08 00:37:14.170970,86
IntEvent,2023-03-08 00:37:14.673087,87
SentMsg,2023-03-08 00:37:15.179282,88
RecMsg,2023-03-08 00:37:15.683517,0,92
IntEvent,2023-03-08 00:37:16.189114,93
IntEvent,2023-03-08 00:37:16.695113,94
SentMsg,2023-03-08 00:37:17.201538,95
RecMsg,2023-03-08 00:37:17.707556,0,98
SentMsg,2023-03-08 00:37:18.211497,99
IntEvent,2023-03-08 00:37:18.717242,100
IntEvent,2023-03-08 00:37:19.220259,101
RecMsg,2023-03-08 00:37:19.722779,0,102
IntEvent,2023-03-08 00:37:20.228734,103
IntEvent,2023-03-08 00:37:20.733148,104
SentMsg,2023-03-08 00:37:21.239319,105
RecMsg,2023-03-08 00:37:21.740878,0,107
RecMsg,2023-03-08 00:37:22.246871,0,111
RecMsg,2023-03-08 00:37:22.749909,0,112
IntEvent,2023-03-08 00:37:23.254211,113
RecMsg,2023-03-08 00:37:23.756289,1,116
RecMsg,2023-03-08 00:37:24.262651,1,117
RecMsg,2023-03-08 00:37:24.768915,0,118
IntEvent,2023-03-08 00:37:25.275234,119
RecMsg,2023-03-08 00:37:25.781395,1,120
RecMsg,2023-03-08 00:37:26.287499,0,121
IntEvent,2023-03-08 00:37:26.793426,122
IntEvent,2023-03-08 00:37:27.299683,123
IntEvent,2023-03-08 00:37:27.804174,124
RecMsg,2023-03-08 00:37:28.306941,0,129
IntEvent,2023-03-08 00:37:28.813200,130
RecMsg,2023-03-08 00:37:29.318745,0,132
RecMsg,2023-03-08 00:37:29.824647,0,133
RecMsg,2023-03-08 00:37:30.330930,0,135
IntEvent,2023-03-08 00:37:30.833472,136
IntEvent,2023-03-08 00:37:31.338188,137
IntEvent,2023-03-08 00:37:31.843950,138
IntEvent,2023-03-08 00:37:32.345643,139
RecMsg,2023-03-08 00:37:32.848843,0,143
IntEvent,2023-03-08 00:37:33.354897,144
RecMsg,2023-03-08 00:37:33.855872,0,145
IntEvent,2023-03-08 00:37:34.361651,146
IntEvent,2023-03-08 00:37:34.867446,147
IntEvent,2023-03-08 00:37:35.369487,148
RecMsg,2023-03-08 00:37:35.875483,0,152
SentMsg,2023-03-08 00:37:36.378418,153
RecMsg,2023-03-08 00:37:36.883746,0,155
RecMsg,2023-03-08 00:37:37.389433,0,156
SentMsg,2023-03-08 00:37:37.895498,157
IntEvent,2023-03-08 00:37:38.396744,158
RecMsg,2023-03-08 00:37:38.902638,0,160
RecMsg,2023-03-08 00:37:39.407138,0,162
RecMsg,2023-03-08 00:37:39.912456,0,163
